fdcId,description,dataType,calories,protein_g,carbs_g,fat_g,fiber_g
2709969,"Green peas, frozen, cooked with butter or margarine",Survey (FNDDS),95.0,5.0,13.82,2.45,4.4
2709968,"Green peas, frozen, cooked with oil",Survey (FNDDS),102.0,4.99,13.8,3.17,4.4
2709964,"Green peas, frozen, cooked, fat added, NS as to fat type",Survey (FNDDS),98.0,4.99,13.81,2.81,4.4
2709960,"Green peas, frozen, cooked, no added fat",Survey (FNDDS),78.0,5.14,14.22,0.27,4.5
2709962,"Green peas, NS as to form, cooked",Survey (FNDDS),98.0,4.99,13.81,2.81,4.4
2710798,"Green pepper, cooked, as ingredient",Survey (FNDDS),25.0,0.77,5.14,0.12,1.0
2710139,"Green plantain with cracklings, Puerto Rican style",Survey (FNDDS),358.0,13.16,26.97,22.82,1.4
2706759,Greens with ham or pork,Survey (FNDDS),47.0,4.91,4.68,1.41,3.6
2709598,"Greens, canned, cooked",Survey (FNDDS),41.0,1.32,2.71,2.82,1.3
2709596,"Greens, fresh, cooked, fat added",Survey (FNDDS),58.0,2.89,5.02,3.4,4.1
2709593,"Greens, fresh, cooked, no added fat",Survey (FNDDS),37.0,2.97,5.16,0.97,4.2
2709597,"Greens, frozen, cooked, fat added",Survey (FNDDS),59.0,2.84,5.59,3.24,2.6
2709594,"Greens, frozen, cooked, no added fat",Survey (FNDDS),37.0,2.92,5.75,0.71,2.7
2709595,"Greens, NS as to form, cooked",Survey (FNDDS),58.0,2.89,5.02,3.4,4.1
2710634,Greyhound,Survey (FNDDS),87.0,0.42,6.28,0.36,0.2
2705803,"Grilled cheese sandwich, American cheese, on wheat bread",Survey (FNDDS),341.0,12.05,26.13,20.98,2.8
2705802,"Grilled cheese sandwich, American cheese, on white bread",Survey (FNDDS),343.0,11.03,28.09,20.78,1.2
2705805,"Grilled cheese sandwich, cheddar cheese, on wheat bread",Survey (FNDDS),366.0,14.4,24.42,23.46,2.8
2705804,"Grilled cheese sandwich, cheddar cheese, on white bread",Survey (FNDDS),368.0,13.38,26.38,23.26,1.2
2705801,"Grilled cheese sandwich, NFS",Survey (FNDDS),343.0,11.03,28.09,20.78,1.2
2705807,"Grilled cheese sandwich, reduced fat cheese, on wheat bread",Survey (FNDDS),305.0,12.34,27.38,16.25,2.8
2705806,"Grilled cheese sandwich, reduced fat cheese, on white bread",Survey (FNDDS),307.0,11.32,29.33,16.05,1.2
2708371,"Grits, instant, made with water, fat added",Survey (FNDDS),85.0,1.36,14.36,2.85,0.8
2708370,"Grits, instant, made with water, no added fat",Survey (FNDDS),65.0,1.38,14.84,0.4,0.8
2708372,"Grits, instant, made with water, NS as to fat",Survey (FNDDS),85.0,1.36,14.36,2.85,0.8
2708363,"Grits, NFS",Survey (FNDDS),71.0,1.19,12.2,1.84,0.7
2708366,"Grits, regular or quick, made with water, fat added",Survey (FNDDS),71.0,1.19,12.2,1.84,0.7
2708365,"Grits, regular or quick, made with water, no added fat",Survey (FNDDS),58.0,1.2,12.41,0.28,0.7
2708364,"Grits, regular or quick, made with water, NS as to fat",Survey (FNDDS),71.0,1.19,12.2,1.84,0.7
2708369,"Grits, with cheese, fat added",Survey (FNDDS),108.0,3.56,11.36,5.28,0.6
