calories,protein_g,carbs_g,fat_g,fiber_g
113.0,7.57,6.53,6.57,1.4
119.0,5.61,15.12,4.05,1.0
146.0,6.82,10.94,8.4,1.2
147.0,13.82,4.78,8.08,0.3
195.0,20.56,6.61,9.08,0.7
261.0,17.85,2.9,19.32,0.4
341.0,13.3,3.37,28.7,0.0
341.0,13.65,3.75,28.54,0.0
122.0,14.8,5.06,4.88,0.8
321.0,20.92,3.89,24.12,0.7
220.0,14.57,6.53,14.85,1.0
150.0,10.06,6.21,9.33,0.7
129.0,7.76,8.99,6.8,0.7
181.0,12.97,6.37,11.32,0.9
368.0,19.16,10.25,27.43,0.4
185.0,22.5,2.75,9.31,0.0
156.0,21.56,1.58,7.05,0.0
163.0,21.97,1.83,7.54,0.1
187.0,15.86,3.35,12.38,0.5
118.0,6.92,12.23,4.37,0.6
211.0,9.29,14.22,12.81,0.6
149.0,21.72,1.58,6.36,0.4
125.0,10.64,4.69,6.95,0.8
121.0,7.85,6.97,7.16,1.0
115.0,7.67,5.96,7.18,1.4
115.0,7.8,5.24,7.16,1.1
110.0,8.24,4.48,6.99,1.7
231.0,29.41,0.0,12.04,0.0
251.0,18.17,0.47,18.98,0.0
257.0,25.9,0.0,16.46,0.0
225.0,28.12,2.5,11.32,0.0
130.0,6.19,12.85,6.16,0.8
127.0,6.15,11.7,6.36,0.9
261.0,25.55,0.0,16.82,0.0
272.0,25.45,0.0,18.18,0.0
228.0,21.86,1.05,14.54,0.1
257.0,25.9,0.0,16.46,0.0
231.0,27.13,0.0,13.04,0.0
131.0,6.68,14.94,5.05,1.0
129.0,6.63,14.63,5.03,1.1
151.0,8.78,18.29,4.91,1.4
139.0,10.4,7.44,7.64,1.0
130.0,6.77,14.86,5.07,1.4
127.0,6.65,13.81,5.04,1.1
125.0,6.6,13.58,5.06,1.2
148.0,8.71,16.71,5.19,1.5
139.0,10.31,7.6,7.58,1.2
126.0,6.74,13.74,5.06,1.5
257.0,25.9,0.0,16.46,0.0
251.0,28.39,0.0,15.35,0.0
131.0,8.17,12.97,5.43,1.3
128.0,5.33,12.19,6.69,1.3
126.0,5.3,12.36,6.34,1.3
148.0,11.78,5.8,8.81,1.0
126.0,5.39,12.28,6.56,1.6
127.0,8.14,11.82,5.43,1.4
127.0,5.28,11.13,7.06,1.4
129.0,5.23,11.17,7.16,1.4
126.0,6.93,13.46,5.15,1.8
149.0,11.75,5.96,8.82,1.1
126.0,5.33,11.13,6.96,1.7
131.0,6.97,14.97,5.1,1.7
115.0,18.62,0.64,3.69,0.0
